reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
36e83b15-d884-4bf7-97a3-8ed943af0d74,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Min minta di infokan kemarin saya sudah datang ke cabang BNI supaya ganti kartu expayed Sampai sana di suruh pulangnya sama orang BNInya Woy duit gue ada di sana masa mau narik uang harus lewat atm lain Mending kalau nggk kena admin ini kena admin Terus di saranin sama mereka kalau pengen aktifkan yg sudah expayed di suruh ke tengah kota Mbok kira di sini emangnya sempat kesana,1,0,1.2.0,2024-12-17 09:44:23,"Halo Kak Firman Yandra, maaf atas kendalanya. Untuk kendala yg Kakak alami, pengecekkan lebih lanjut Kakak bisa laporkan melalui BNI Chat: -Mobile Banking -Website BNI www.bni.co.id -WA BNI 0811-588-1946 -Email bnicall@bni.co.id dengan kirimkan gambar kendalanya, nomor HP & nomor rekening ya Kak. Semoga segera terselesaikan. Tks. -CX Oneal-",2024-12-17 10:29:25,1.2.0
1e63924f-5832-4d8b-bd8f-9bd5c03d9d26,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ganti hp, lalu install ulang wondr. saat aktifasi sidik jari selalu force close. setelah install ulang aman",5,0,1.4.1,2025-07-19 06:23:14,,,1.4.1
b3b898d5-87e3-4452-ba91-6ef7edb94ab6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantapz,5,0,1.3.0,2025-02-25 04:14:16,,,1.3.0
50298145-c1a3-4072-a0fa-c45a6954dcfc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Wondr by BNI ini semakin kesini semakin simple cara penggunaannya, meskipun belum secara keseluruhan menu disematkan seperti BNI Mbanking. Tapi so far, udah manteb dan keren wondr by BNI",5,2,1.0.2,2024-09-03 06:39:18,,,1.0.2
a641c404-c499-4bcd-8f8c-8a2906edda5c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Pembayaran Qris gagal,tpi saldo nya ke potong,di email saldo nya SDH di kembaliin ke akun saya,smpai sekarang belum da pengembalian,gmn nih",1,0,1.2.0,2024-11-24 09:30:28,"Halo Kak Septiana Maura26, maaf atas kendala transaksinya. Untuk pelaporan terkait pembayaran menggunakan QRIS, Kakak dapat menghubungi layanan BNI Chat melalui aplikasi BNI Mobile Banking, website www.bni.co.id, dan WhatsApp BNI 0811-588-1946 atau kirimkan e-mail ke bnicall@bni.co.id ya Kak. Semoga segera terselesaikan. Tks. -CX Jason-",2024-11-24 10:06:07,1.2.0
b0b4ce2e-dcf7-4ab1-b0bd-66e1dfe275bc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus,5,0,1.4.2,2025-08-23 01:13:15,,,1.4.2
8e18364b-adbe-4b44-9aca-00f5f087afea,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Makin susah dibuka skrg,tolong perbaiki app ini min",1,0,1.3.1,2025-04-04 01:33:57,"Halo Kak Aprizal 14, maaf sekali ya untuk kendalanya. Bisa diinfokan lebih detail kendala yang dialami seperti apa agar kami bisa infokan solusinya dengan segera. Tks. -CX Donita-
",2025-04-04 02:00:02,1.3.1
39929fe8-f665-40cf-b4e1-15a972a449dc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sudah cukup baik menurut saya daripasa versi yang sebelumnya, saran aja tolong tambhkan fitur setor tunai di mobile tunai semoga di dengar",4,0,,2025-04-23 05:56:36,"Halo Kak Fredy Pratama, terima kasih atas review untuk aplikasi wondr by BNI. Review Kakak jadi masukan berharga kami dalam melakukan pengembangan aplikasi ini ke depannya. Kalau nggak ada kendala mohon kesediaan Kakak kasih bintang 5. Kami senang dapat berikan pelayanan terbaik buat Kakak. Tks. -CX Donita-
",2025-04-23 06:19:42,
8d0f0e1e-4108-4d69-bc5d-40c057c72a38,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi lebih simpel dan mudah dipelajari,5,0,1.0.1,2024-07-09 04:23:40,,,1.0.1
6df86467-e3ea-4b45-9c45-a7cad4a85c77,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat baik,5,0,1.3.0,2025-03-08 02:06:14,,,1.3.0
